Repository name,RQ1 - Repository age (days),RQ2 - Total pull requests accepted,RQ3 - Total releases,RQ4 - Time since last update (days),RQ5 - Primary language,RQ6 - Issues closed percentage
github-cheat-sheet,3610,129,0,-1,N/A,0.703125
DeepFaceLab,2096,32,2,0,Python,0.5968703427719821
v2ray-core,3100,203,247,0,Go,0.9953143303397111
julia,4697,22930,152,-1,Julia,0.8425777887098758
meteor,4424,2071,0,-1,JavaScript,0.974076546506453
annotated_deep_learning_paper_implementations,1283,89,0,-1,Jupyter Notebook,0.7068965517241379
gogs,3669,1646,78,-1,Go,0.8272727272727273
Projects,3892,19,0,-1,N/A,0.4647887323943662
marktext,2300,937,36,-1,JavaScript,0.6006698920729439
architecture-samples,2946,222,0,0,Kotlin,0.7178947368421053
trackerslist,2867,1,0,0,N/A,0.9880952380952381
react,2098,351,0,-1,JavaScript,0.9850746268656716
ripgrep,2911,491,71,-1,Rust,0.9501295336787565
fuel-core,1281,852,75,-1,Rust,0.7675840978593272
core,2088,2369,198,-1,TypeScript,0.8544451517080416
AdminLTE,3718,1469,72,0,Astro,0.9633842872378244
professional-programming,3036,34,0,-1,Python,1.0
jest,3733,5422,199,-1,TypeScript,0.9574993501429685
awesome-wechat-weapp,2716,276,0,0,N/A,0
lazygit,2112,1203,148,-1,Go,0.6666666666666666
minio,3333,9049,460,-1,Go,0.9960289320663736
TensorFlow-Examples,3032,88,0,0,Jupyter Notebook,0.2987012987012987
parcel,2397,2341,35,-1,JavaScript,0.8761432926829268
design-patterns-for-humans,2569,49,0,0,N/A,0.94
PowerShell,2968,6725,162,-1,C#,0.9326858673811118
ollama,248,780,49,-1,Go,0.6455696202531646
rclone,3637,1737,101,-1,Go,0.834610962054427
Magisk,2730,1377,132,-1,C++,0.9959802667641148
babel,3441,5591,387,0,TypeScript,0.9283582089552239
x64dbg,3246,671,3,0,C++,0.7621419676214197
dive,2118,141,26,0,Go,0.5290322580645161
build-web-application-with-golang,4228,757,0,0,Go,0.610738255033557
100-Days-Of-ML-Code,2065,6,0,-1,N/A,0
segment-anything,343,16,0,0,Jupyter Notebook,0.25295109612141653
retrofit,4923,924,0,0,Java,0.9536967886482449
hyper,2799,3246,88,-1,TypeScript,0.7652267239066273
Motrix,1899,192,21,-1,JavaScript,0.4533120510774142
uBlock,3256,231,265,-1,JavaScript,0.9965197215777262
hackingtool,1419,55,0,-1,Python,0.8990536277602523
meilisearch,2138,1565,179,-1,Rust,0.92942515651679
pixijs,4055,3205,236,-1,TypeScript,0.9570131554567353
Prompt-Engineering-Guide,440,249,0,-1,MDX,0.5092592592592593
powerlevel10k,1831,152,33,-1,Shell,0.9847133757961783
cs-self-learning,862,222,4,-1,HTML,0.4936708860759494
